Description,Action,Symbol,Date,Quantity,Currency,BuyPrice
MAGNA INTERNATIONAL,BUY,MG.TO,14-May-14,25,CAD,45.71
PASON SYSTEMS INC,BUY,PSI.TO,9-Jul-14,50,CAD,19.51
ENERFLEX LTD,BUY,EFX.TO,10-Dec-14,125,CAD,13.08
GILDEN ACTIVEWEAR INC,BUY,GIL.TO,8-Mar-17,45,,32.71
STINGRAY,BUY,RAY-A.TO,12-Jun-19,75,,6.77
STINGRAY,BUY,RAY-A.TO,20-Jul-19,100,,6.75
ANDLAUER HEALTHCARE  GROUP,BUY,AND.TO,10-Feb-21,125,CAD,23.98
CONTRIBUTION,DEPOSIT,DEPOSIT,12-May-14,0,CAD,5000
CONTRIBUTION,DEPOSIT,DEPOSIT,6-Mar-17,0,CAD,2000
CONTRIBUTION,DEPOSIT,DEPOSIT,12-Jun-19,0,CAD,3500
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
